;;;;;;A00-B99;A15-A19,B90;A39;B15-B19;B20-B24;C00-D48;C00-C97;C00-C14;C15;C16;C18;C19-C21;C22-C25;C22;C25;C32-C34;C34;C43,C44;C43;C50;C51-C68;C53;C54-C55;C56;C61;C64;C67;C81-C96;C91-C95;D10-D36;D50-D89;E00-E90;E10-E14;F00-F99;F10;F11-F16,F18-F19;G00-H95;G00-G03;I00-I99;I10-I15;I20-I25;I21,I22;I30-I33,I39-I52;I34-I38;I60-I69;I64;I70-I79;J00-J99;J10-J11;J12-J18;J40-J47;J45-J46;K00-K93;K25-K28;K70-K77;K70,K73-K74;L00-L99;M00-M99;M05-M06,M15-M19;N00-N99;N00-N29;O00-O99;P00-P96;Q00-Q99;Q00-Q07;Q20-Q28;R00-R99;R95;R96-R99;A00-T98;V01-V99;W00-W19;W65-W74;X00-X09;X40-X49;X60-X84;X85-Y09;Y10-Y34;V-X59,Y40-86,88;V01-Y98
;;;;;;Best. infektiöse u. parasitäre Krankheiten (KH);Tuberkulose einschl. ihrer Folgezustände;Meningokokkeninfektion;Virushepatitis;HIV-Krankheit;Neubildungen;Bösartige Neubildungen (BN);BN d. Lippe, d. Mundhöhle u. d. Pharynx;BN des Ösophagus;BN des Magens;BN des Dickdarms;BN des Rektums u. d. Anus u. a. Rektosigmoid;BN der Leber, der Gallenwege und des Pankreas;BN der Leber u. d. intrahepatischen Gallengänge;BN des Pankreas;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;BN der Bronchien und Lunge;Melanom und sonstige BN der Haut;Bösartiges Melanom der Haut;BN der Brustdrüse;BN der Genital- und Harnorgane;BN der Cervix uteri;BN des Corpus uteri u. Uterus, Teil n. n. bez.;BN des Ovars;BN der Prostata;BN der Niere, ausgenommen Nierenbecken;BN der Harnblase;BN d. lymphat., blutbild. u. verwandten Gewebes;Leukämie;Gutartige Neubildungen;KH d. Blutes, blutbild. Org., best. Störungen(...);Endokrine, Ernährungs- u. Stoffwechselkrankh.;Diabetes mellitus;Psychische und Verhaltensstörungen;Psychische u. Verhaltensstörungen durch Alkohol;Psychische u. Verhaltensst. d. a. psychot. Subst.;Krankheiten d. Nervensystems u. d. Sinnesorgane;Meningitis;Krankheiten des Kreislaufsystems;Hypertonie (Hochdruckkrankheit);Ischämische Herzkrankheiten;Akuter Myokardinfarkt, Rezidiv. Myokardinfarkt;Sonstige Formen der Herzkrankheit;Sonstige Krankheiten des Endokards;Zerebrovaskuläre Krankheiten;Schlaganfall, nicht als Blutung oder Infarkt bez.;Krankheiten der Arterien, Arteriolen und Kapillare;Krankheiten des Atmungssystems;Grippe;Pneumonie;Chronische Krankheiten der unteren Atemwege;Asthma;Krankheiten des Verdauungssystems;Ulcus ventriculi, duodeni, pepticum, peptic. jejun;Krankheiten der Leber;Alkoh.Leberkh., Chron.Hepatitis, Leberfibr- u.-zir;Krankheiten der Haut und der Unterhaut;Kh d. Muskel-Skelett-Syst. u. d. Bindegewebes;Chronische Polyarthritis und Arthrose;Krankheiten des Urogenitalsystems;Krankheiten der Niere;Schwangerschaft, Geburt und Wochenbett;Best. Zust. d. i. Ursprung i. d. Perinatalp. haben;Angeb.Fehlbild., Deformit. u. Chromosomenanom.;Angeborene Fehlbildungen des Nervensystems;Angeborene Fehlbildungen des Kreislaufsystems;Symptome, abnorme klin. u. Laborbefunde (a.n.k.);Plötzlicher Kindstod;Sonst. ungenau bez. u. unbek. Todesursachen;Insgesamt;Transportmittelunfälle;Stürze;Ertrinken und Untergehen;Exposition gegenüber Rauch, Feuer und Flammen;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);Vorsätzliche Selbstbeschädigung;Tätlicher Angriff;Ereignis, dessen nähere Umstände unbest. sind;Unfälle einschl. Spätfolgen;Äußere Ursachen von Morbidität und Mortalität
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Düsseldorf, Regierungsbezirk;Remscheid, krfr. Stadt;Anzahl;32;-;-;1;-;336;333;8;10;20;22;9;43;11;25;88;84;2;2;20;47;2;3;6;19;6;6;21;7;-;4;16;7;30;9;1;33;-;539;25;213;84;143;21;83;15;33;118;-;36;46;1;55;-;29;28;3;2;-;39;27;-;-;2;-;1;85;1;75;1334;5;17;-;-;-;12;1;1;26;40
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Düsseldorf, Regierungsbezirk;Solingen, krfr. Stadt;Anzahl;54;-;-;1;-;505;501;4;18;21;35;17;58;17;36;119;114;8;5;52;76;2;9;12;23;11;9;47;19;-;5;31;20;53;11;1;53;-;661;66;202;93;180;37;109;37;40;142;-;30;84;3;76;3;25;24;10;4;-;74;57;-;-;2;-;1;109;-;90;1829;3;18;-;-;2;13;1;2;34;50
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Düsseldorf, Regierungsbezirk;Wuppertal, krfr. Stadt;Anzahl;106;-;-;4;4;1092;1071;18;21;38;101;32;99;32;54;260;259;14;9;90;183;6;7;34;63;25;23;82;32;-;10;83;54;155;34;6;124;-;1342;96;410;212;327;61;236;77;133;352;1;116;138;7;175;9;58;55;14;9;-;117;81;-;5;7;-;2;226;-;171;3969;10;51;1;-;3;34;2;19;96;152
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Düsseldorf, Regierungsbezirk;Kleve, Kreis;Anzahl;84;1;-;3;1;875;860;20;27;35;75;35;94;25;59;210;203;20;15;54;150;3;7;24;64;14;22;52;25;1;7;63;38;111;14;8;90;1;1226;106;326;155;367;42;230;98;107;246;-;64;125;5;109;8;37;34;5;5;-;89;62;-;4;9;-;1;186;-;151;3222;16;30;-;2;-;27;2;19;64;113
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Düsseldorf, Regierungsbezirk;Mettmann, Kreis;Anzahl;236;3;-;5;6;1476;1451;27;36;68;117;51;170;47;105;338;330;30;24;111;241;8;19;33;82;40;19;106;41;2;11;144;77;170;37;3;189;1;1907;193;497;221;577;66;313;94;173;457;-;153;208;11;236;11;68;61;10;7;-;200;137;-;4;14;-;5;226;-;187;5448;8;63;2;3;1;50;2;10;99;161
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Düsseldorf, Regierungsbezirk;Rhein-Kreis Neuss;Anzahl;146;4;-;6;2;1339;1316;16;30;41;103;47;149;34;86;342;336;24;20;110;228;5;12;28;85;32;34;101;36;4;13;132;83;132;19;1;152;2;1443;126;399;180;357;76;277;91;131;344;-;91;164;3;215;15;72;68;9;16;1;163;111;1;12;15;-;6;293;-;244;4617;11;84;1;1;5;38;2;6;146;192
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Düsseldorf, Regierungsbezirk;Viersen, Kreis;Anzahl;93;1;-;3;1;834;813;15;22;35;63;36;87;23;55;207;204;9;7;76;115;5;8;16;33;15;13;70;22;1;6;72;52;87;11;-;93;-;1216;123;369;165;303;50;206;90;101;260;-;58;153;5;102;9;30;28;12;7;2;104;71;-;8;5;-;2;202;1;123;3200;11;22;-;1;1;26;2;16;55;99
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Düsseldorf, Regierungsbezirk;Wesel, Kreis;Anzahl;170;2;-;13;5;1456;1441;27;42;67;104;56;158;37;99;361;347;19;15;89;250;8;10;29;101;33;40;115;45;1;7;80;56;168;35;7;117;-;2044;135;633;273;655;79;319;147;121;464;-;112;229;6;217;20;64;61;14;7;-;136;106;-;9;17;2;8;178;-;133;5239;21;53;-;1;3;50;2;5;97;155
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Köln, Regierungsbezirk;Insgesamt;Anzahl;1436;13;-;55;34;12118;11911;230;305;424;910;399;1375;356;883;2934;2835;209;182;919;2021;65;118;283;730;253;248;947;385;18;112;908;602;1419;299;56;1288;5;15894;1284;4831;2286;4444;621;2552;877;1339;3631;4;980;1722;47;1829;107;583;542;126;91;6;1355;907;2;68;69;6;8;2130;4;1726;43986;119;511;11;14;31;451;25;95;936;1510
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Köln, Regierungsbezirk;Aachen, krfr. Stadt;Anzahl;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
